VALUE,COUNT,EVTname,EVTgroupname,EVH,EVC
18,77347,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
19,14242,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
20,39767,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
21,169,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
22,6211,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
23,29865,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
24,4463,Eastern Cool Temperate Urban Deciduous Forest,Developed-Upland Deciduous Forest,Developed-Upland Deciduous Forest,Developed-Upland Deciduous Forest
25,2827,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
26,1864,Barren,Barren,Barren,Barren
27,50392,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
28,24782,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
29,665,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
30,9140,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
31,1450,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
32,1878,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
33,63,Laurentian Oak Barrens,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
34,531,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
35,4468,Eastern Cool Temperate Urban Evergreen Forest,Developed-Upland Evergreen Forest,Developed-Upland Evergreen Forest,Developed-Upland Evergreen Forest
36,7170,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
37,14853,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
38,5285,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
39,312,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
40,354,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 40 and < 50%
41,1411,Laurentian-Acadian Northern Pine-Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
42,14556,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
43,3969,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
44,40610,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
45,20356,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
46,4878,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
47,14704,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
48,2572,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
49,451,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
50,6288,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
51,3829,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
52,77,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
53,23316,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
54,34530,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
55,3156,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
56,4165,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
57,6233,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
58,2458,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
59,496,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
60,2062,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
61,1007,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
62,6332,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
63,1820,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
64,2653,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
65,640,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
66,853,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
67,3863,Eastern Cool Temperate Urban Herbaceous,Developed-Upland Herbaceous,Developed-Upland Herbaceous,Developed-Upland Herbaceous
68,341,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
69,213,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
70,3136,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
71,51,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height > 3.0 meters,Shrub Cover >= 30 and < 40%
72,121,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
73,2171,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
74,3948,Eastern Cool Temperate Urban Shrubland,Developed-Upland Shrubland,Developed-Upland Shrubland,Developed-Upland Shrubland
75,39,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 0 to 5 meters,Tree Cover >= 20 and < 30%
76,408,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
77,166,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
78,327,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
79,340,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
80,500,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
81,20,Eastern Boreal Floodplain Shrubland,Jack Pine Forest,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
82,84,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 5 to 10 meters,Tree Cover >= 30 and < 40%
83,1677,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
84,2595,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
85,13,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 20 and < 30%
86,1277,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
87,1136,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
88,4668,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
89,135,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0 to 0.5 meters,Shrub Cover >= 10 and < 20%
90,40,Boreal Acidic Peatland Shrubland,Peatland Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 10 and < 20%
91,98,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,Atlantic Swamp Forests,Shrub Height 0.5 to 1.0 meter,Shrub Cover >= 10 and < 20%
92,2565,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
93,443,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
94,5110,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
95,5612,Developed-Medium Intensity,Developed-Medium Intensity,Developed - Medium Intensity,Developed - Medium Intensity
96,158,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
97,685,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
98,41,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 50 and < 60%
99,114,Boreal Jack Pine-Black Spruce Forest,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
100,357,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
101,3671,Recently Logged-Herb and Grass Cover,Transitional Herbacous Vegetation,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
102,297,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
103,12430,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
104,547,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
105,35,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 40 and < 50%
106,289,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
107,99,Eastern Cool Temperate Developed Ruderal Shrubland,Developed-Upland Shrubland,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
108,8,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 90 and <= 100%
109,993,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
110,62,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
111,130,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
112,456,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
113,10,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
114,12,Eastern Boreal Floodplain Herbaceous,Jack Pine Forest,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
115,6169,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
116,84,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
117,32,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
118,131,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
119,104,Great Lakes Coastal Marsh Herbaceous,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
120,8,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
121,147,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 60 and < 70%
122,111,Eastern Boreal Floodplain Shrubland,Jack Pine Forest,Shrub Height > 3.0 meters,Shrub Cover >= 10 and < 20%
123,21,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
124,132,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
125,645,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
126,3054,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
127,90,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
128,1,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
129,50,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
130,4,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 80 and < 90%
131,5,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
132,667,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
133,181,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
134,39,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
135,112,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
136,67,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
137,10,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
138,365,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
139,359,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
140,1335,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
141,107,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 50 and < 60%
142,4,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 70 and < 80%
143,41,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
144,83,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
145,66,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
146,10,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
147,70,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
148,68,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
149,2,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
150,140,Eastern Cool Temperate Developed Ruderal Grassland,Developed-Upland Herbaceous,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
151,285,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
152,1178,Boreal Acidic Peatland Herbaceous,Peatland Forests,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
153,3,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
154,22,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 30 and < 40%
155,50,Laurentian-Acadian Shrub Wetlands,Inland Marshes and Prairies,Shrub Height > 3.0 meters,Shrub Cover >= 20 and < 30%
156,18,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
157,74,Eastern Boreal Floodplain Woodland,Jack Pine Forest,Forest Height 10 to 25 meters,Tree Cover >= 50 and < 60%
158,328,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 60 and < 70%
159,21,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
160,375,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 60 and < 70%
161,8,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
162,40,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 90 and <= 100%
163,4858,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 20 and < 30%
164,75,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 40 and < 50%
165,155,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
166,3,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 0 to 5 meters,Tree Cover >= 60 and < 70%
167,32,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
168,172,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
169,4,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
170,2,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
171,51,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
172,5,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
173,28,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
174,97,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
175,6,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed-Upland Evergreen Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
176,20,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest,Forest Height 10 to 25 meters,Tree Cover >= 20 and < 30%
177,63,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest,Forest Height 10 to 25 meters,Tree Cover >= 10 and < 20%
178,21,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 30 and < 40%
179,5,Boreal Acidic Peatland Forest,Peatland Forests,Forest Height 5 to 10 meters,Tree Cover >= 80 and < 90%
180,38,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 10 and < 20%
181,12,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 20 and < 30%
182,130,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 5 to 10 meters,Tree Cover >= 10 and < 20%
183,109,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0.5 to 1.0 meters,Herb Cover >= 40 and < 50%
184,20,Eastern Cool Temperate Pasture and Hayland,Agricultural-Pasture and Hayland,Herb Height 0.5 to 1.0 meters,Herb Cover >= 20 and < 30%
185,11,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 70 and < 80%
186,53,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 80 and < 90%
187,19,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 25 to 50 meters,Tree Cover >= 40 and < 50%
188,27,Laurentian-Acadian Herbaceous Wetlands,Inland Marshes and Prairies,Herb Height 0 to 0.5 meters,Herb Cover >= 10 and < 20%
